기간	자치구	동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020.3/4	합계	합계	4,405,833	9,953,009	4,840,912	5,112,097	9,699,232	4,719,170	4,980,062	253,777	121,742	132,035	2.2014525	1,552,356
2020.3/4	종로구	소계	74,861	159,842	77,391	82,451	149,952	73,024	76,928	9,890	4,367	5,523	2.0030724	28,396
2020.3/4	종로구	사직동	4,765	9,848	4,447	5,401	9,568	4,284	5,284	280	163	117	2.0079748	1,849
2020.3/4	종로구	삼청동	1,369	2,962	1,428	1,534	2,692	1,296	1,396	270	132	138	1.9663988	682
2020.3/4	종로구	부암동	4,348	10,347	4,935	5,412	10,008	4,760	5,248	339	175	164	2.3017479	1,825
2020.3/4	종로구	평창동	7,518	18,618	8,678	9,940	18,431	8,594	9,837	187	84	103	2.4515829	3,363
2020.3/4	종로구	무악동	3,203	8,655	4,041	4,614	8,610	4,021	4,589	45	20	25	2.6881049	1,464
2020.3/4	종로구	교남동	4,594	10,660	4,952	5,708	10,506	4,876	5,630	154	76	78	2.2868960	1,625
2020.3/4	종로구	가회동	2,070	4,422	2,051	2,371	4,328	1,998	2,330	94	53	41	2.0908213	934
2020.3/4	종로구	종로1.2.3.4가동	5,234	8,418	4,954	3,464	7,206	4,329	2,877	1,212	625	587	1.3767673	2,002
2020.3/4	종로구	종로5·6가동	3,459	5,809	3,160	2,649	5,350	2,904	2,446	459	256	203	1.5466898	1,130
2020.3/4	종로구	이화동	4,433	8,224	3,806	4,418	7,674	3,614	4,060	550	192	358	1.7311076	1,407
2020.3/4	종로구	창신1동	2,981	6,035	3,239	2,796	5,165	2,798	2,367	870	441	429	1.7326401	1,252
2020.3/4	종로구	창신2동	4,150	9,568	4,893	4,675	8,345	4,299	4,046	1,223	594	629	2.0108434	1,785
2020.3/4	종로구	창신3동	2,907	7,124	3,495	3,629	6,939	3,392	3,547	185	103	82	2.3869969	1,231
2020.3/4	종로구	숭인1동	3,015	6,435	3,108	3,327	6,106	2,972	3,134	329	136	193	2.0252073	1,211
2020.3/4	종로구	숭인2동	6,046	10,077	5,052	5,025	9,618	4,889	4,729	459	163	296	1.5908038	1,689
2020.3/4	종로구	청운효자동	5,376	12,708	5,939	6,769	12,479	5,815	6,664	229	124	105	2.3212426	2,235
2020.3/4	종로구	혜화동	9,393	19,932	9,213	10,719	16,927	8,183	8,744	3,005	1,030	1,975	1.8020867	2,712
2020.3/4	중구	소계	63,594	135,321	66,193	69,128	125,800	61,526	64,274	9,521	4,667	4,854	1.9781740	24,265
2020.3/4	중구	소공동	1,141	3,006	1,547	1,459	2,086	1,024	1,062	920	523	397	1.8282209	289
2020.3/4	중구	회현동	3,042	5,803	3,087	2,716	5,182	2,753	2,429	621	334	287	1.7034846	1,545
2020.3/4	중구	명동	1,583	3,649	1,640	2,009	2,956	1,265	1,691	693	375	318	1.8673405	787
2020.3/4	중구	필동	2,392	4,781	2,432	2,349	4,028	2,079	1,949	753	353	400	1.6839465	854
2020.3/4	중구	장충동	2,771	5,502	2,733	2,769	4,692	2,367	2,325	810	366	444	1.6932515	840
2020.3/4	중구	광희동	3,132	6,364	3,328	3,036	5,072	2,669	2,403	1,292	659	633	1.6194125	1,219
2020.3/4	중구	을지로동	1,385	1,990	1,179	811	1,835	1,099	736	155	80	75	1.3249097	518
2020.3/4	중구	신당5동	5,389	10,970	5,317	5,653	10,618	5,170	5,448	352	147	205	1.9703099	1,784
2020.3/4	중구	황학동	6,928	13,644	6,488	7,156	12,649	6,030	6,619	995	458	537	1.8257794	1,988
2020.3/4	중구	중림동	5,869	12,879	6,449	6,430	12,578	6,283	6,295	301	166	135	2.1431249	2,099
2020.3/4	중구	신당동	4,572	9,143	4,512	4,631	7,631	3,824	3,807	1,512	688	824	1.6690726	1,425
2020.3/4	중구	다산동	6,995	14,882	7,195	7,687	14,386	6,987	7,399	496	208	288	2.0566119	2,651
2020.3/4	중구	약수동	7,811	17,473	8,236	9,237	17,250	8,121	9,129	223	115	108	2.2084240	3,750
2020.3/4	중구	청구동	6,404	14,342	6,801	7,541	14,117	6,692	7,425	225	109	116	2.2044035	2,661
2020.3/4	중구	동화동	4,180	10,893	5,249	5,644	10,720	5,163	5,557	173	86	87	2.5645933	1,855
2020.3/4	용산구	소계	112,451	244,953	119,074	125,879	229,786	110,604	119,182	15,167	8,470	6,697	2.0434323	39,995
2020.3/4	용산구	후암동	8,655	18,291	8,924	9,367	17,757	8,645	9,112	534	279	255	2.0516464	3,085
2020.3/4	용산구	용산2가동	5,415	11,428	5,582	5,846	10,111	4,872	5,239	1,317	710	607	1.8672207	2,110
2020.3/4	용산구	남영동	5,440	8,190	4,944	3,246	7,699	4,698	3,001	491	246	245	1.4152574	1,655
2020.3/4	용산구	원효로2동	6,077	14,493	6,802	7,691	14,346	6,741	7,605	147	61	86	2.3607043	2,422
2020.3/4	용산구	효창동	4,367	10,372	4,920	5,452	10,251	4,855	5,396	121	65	56	2.3473781	1,453
2020.3/4	용산구	용문동	5,412	12,448	5,922	6,526	12,314	5,862	6,452	134	60	74	2.2753141	2,095
2020.3/4	용산구	이촌1동	10,350	29,144	13,665	15,479	28,300	13,219	15,081	844	446	398	2.7342995	4,541
2020.3/4	용산구	이촌2동	3,862	8,855	4,155	4,700	8,764	4,116	4,648	91	39	52	2.2692905	1,790
2020.3/4	용산구	이태원1동	3,898	8,929	4,612	4,317	6,935	3,278	3,657	1,994	1,334	660	1.7791175	1,635
2020.3/4	용산구	이태원2동	4,995	10,788	5,082	5,706	9,256	4,270	4,986	1,532	812	720	1.8530531	1,916
